transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label
T31,U2407,30396.87,Transfer,NetBanking,Android,Hyderabad,363,9,4,2616.78,0,0.062,2,0
T32,U7256,8567.68,Payment,NetBanking,iOS,Delhi,1117,8,1,27952.33,0,0.344,4,0
T33,U5506,3299.33,Transfer,Card,Web,Delhi,564,0,1,11517.82,1,0.944,9,0
T34,U5582,47446.83,Withdrawal,Card,Web,Delhi,75,21,2,4950.68,0,0.7,7,0
T35,U3759,48283.32,Transfer,Card,iOS,Bangalore,1421,15,0,4356.41,0,0.368,1,0
T36,U2802,40429.45,Transfer,UPI,iOS,Hyderabad,1924,13,2,12281.44,0,0.792,3,0
T37,U8637,15265.46,Payment,UPI,Android,Delhi,630,12,4,19003.02,1,0.837,5,0
T38,U4639,4928.72,Withdrawal,UPI,Web,Delhi,1647,5,0,23355.69,0,0.152,7,0
T39,U3206,34227.44,Transfer,UPI,Web,Chennai,1168,13,0,27745.69,0,0.587,5,0
T40,U9553,22035.62,Payment,UPI,Android,Delhi,1119,7,1,19107.49,0,0.367,9,0
T41,U4277,6145.81,Transfer,UPI,Android,Chennai,93,22,0,12677.79,0,0.507,7,0
T42,U6751,24784.09,Payment,NetBanking,Web,Mumbai,1987,22,4,12716.2,0,0.469,1,0
T43,U2054,1767.71,Payment,Wallet,Web,Delhi,236,17,4,17273.87,0,0.504,6,0
T44,U6523,45470.55,Transfer,NetBanking,iOS,Chennai,1293,19,4,16187.42,0,0.522,2,0
T45,U1346,12976.06,Withdrawal,Wallet,iOS,Delhi,901,0,3,19260.36,0,0.069,6,0
T46,U1899,33142.99,Withdrawal,NetBanking,Web,Mumbai,1022,11,0,15151.97,0,0.178,3,0
T47,U7634,15619.97,Payment,NetBanking,Web,Delhi,29,10,0,1863.83,1,0.566,2,0
T48,U6799,26027.4,Withdrawal,UPI,iOS,Chennai,1068,12,4,15071.78,1,0.936,3,0
T49,U9575,27358.18,Payment,UPI,Android,Mumbai,1898,22,1,773.74,0,0.747,4,0
T50,U6463,9283.48,Withdrawal,Wallet,Android,Mumbai,764,3,0,5500.18,0,0.239,1,0
T51,U9688,48480.75,Transfer,Wallet,Web,Mumbai,1476,5,3,11684.09,0,0.362,4,0
T52,U8581,38767.88,Withdrawal,UPI,Web,Bangalore,950,21,0,16584.12,0,0.335,6,0
T53,U9669,46977.97,Payment,NetBanking,iOS,Chennai,279,12,2,5626.06,0,0.77,5,0
T54,U8665,44746.63,Payment,Wallet,Web,Bangalore,1768,23,3,8361.39,0,0.972,5,0
T55,U2603,29915.1,Withdrawal,Card,Android,Mumbai,415,21,1,11288.91,0,0.355,9,0
T56,U1488,46097.62,Transfer,Card,iOS,Bangalore,1541,12,3,5996.73,0,0.015,9,0
T57,U4896,4470.2,Payment,Card,iOS,Delhi,313,5,3,29963.03,0,0.937,9,0
T58,U7117,9839.34,Payment,Wallet,Android,Bangalore,1703,21,0,24160.93,1,0.753,7,0
T59,U6287,2309.1,Payment,UPI,Android,Hyderabad,1318,3,3,24347.0,0,0.834,9,0
T60,U3018,16300.25,Payment,UPI,iOS,Mumbai,1581,20,4,17109.03,0,0.209,8,0
T61,U1357,19464.43,Payment,UPI,Web,Mumbai,1018,2,3,28843.61,0,0.646,8,0
T62,U7561,13603.88,Transfer,Wallet,Android,Chennai,819,14,0,21992.8,0,0.233,5,0
T63,U8749,41445.44,Withdrawal,Wallet,iOS,Delhi,1062,10,4,9993.27,0,0.012,9,0
T64,U1808,17869.83,Transfer,Card,Web,Chennai,400,1,1,18354.75,0,0.157,8,0
T65,U8448,14082.68,Transfer,Wallet,Web,Bangalore,1449,22,2,16356.63,0,0.923,7,0
T66,U1709,27157.67,Payment,Card,iOS,Hyderabad,1942,16,3,17450.64,0,0.215,8,0
T67,U9847,7089.17,Transfer,Card,Android,Hyderabad,1800,22,4,24550.03,0,0.585,9,0
T68,U1177,40119.74,Payment,UPI,Web,Hyderabad,918,1,4,15335.9,0,0.968,7,0
T69,U3551,3773.8,Transfer,Wallet,Android,Hyderabad,1983,20,1,21886.35,0,0.076,9,0
T70,U5572,49345.0,Payment,UPI,iOS,Delhi,151,0,1,7592.84,0,0.808,8,0
T71,U5611,38623.63,Payment,UPI,Android,Bangalore,655,4,2,27968.65,0,0.598,2,0
T72,U3282,9975.85,Transfer,Wallet,Web,Hyderabad,1689,19,2,2682.83,0,0.323,3,0
T73,U1105,325.83,Transfer,Wallet,iOS,Mumbai,818,16,0,29808.04,0,0.364,6,0
T74,U6842,40782.3,Withdrawal,NetBanking,Web,Bangalore,957,0,2,19016.93,0,0.027,6,0
T75,U7788,35357.52,Withdrawal,Card,Web,Delhi,1913,6,2,14151.55,1,0.256,7,0
T76,U4108,36463.91,Withdrawal,NetBanking,iOS,Hyderabad,1374,2,4,9392.39,0,0.423,2,0
T77,U9241,38574.95,Transfer,Card,iOS,Delhi,254,15,3,12213.74,0,0.717,1,0
T78,U1267,3748.53,Transfer,Card,Android,Hyderabad,775,15,3,23494.46,1,0.275,5,0
T79,U5248,17955.36,Payment,Card,iOS,Mumbai,885,11,2,4269.05,0,0.58,2,0
T80,U6998,5837.66,Withdrawal,UPI,Android,Bangalore,921,8,0,7655.29,0,0.732,9,0
T81,U3877,43162.02,Payment,UPI,iOS,Mumbai,1038,13,0,3799.45,0,0.699,3,0
T82,U1520,31183.74,Payment,Wallet,Web,Hyderabad,929,11,3,12856.97,0,0.59,2,0
T83,U1170,16578.36,Payment,Card,Android,Chennai,948,15,1,11677.96,0,0.58,7,0
T84,U5484,3224.74,Payment,Card,iOS,Bangalore,458,16,4,19498.67,0,0.721,6,0
T85,U9322,15583.57,Withdrawal,Card,Android,Delhi,275,11,2,29871.91,0,0.336,8,0
T86,U3983,16292.91,Payment,UPI,Android,Hyderabad,1524,3,4,26781.54,0,0.45,9,0
T87,U2552,36493.83,Transfer,Wallet,Android,Mumbai,1272,16,2,26423.29,0,0.966,3,0
T88,U3989,31896.0,Transfer,UPI,Web,Chennai,259,0,2,19406.67,0,0.669,8,0
T89,U4029,44366.28,Transfer,NetBanking,iOS,Hyderabad,964,20,3,8191.19,0,0.52,4,0
T90,U5882,23637.14,Withdrawal,NetBanking,iOS,Delhi,1324,16,4,11584.16,0,0.578,2,0
T91,U4389,6023.73,Payment,NetBanking,Android,Mumbai,552,10,4,7578.65,0,0.104,4,0
T92,U4396,35676.58,Withdrawal,Wallet,iOS,Bangalore,641,18,1,4139.01,0,0.592,4,0
T93,U8733,38051.21,Payment,NetBanking,Web,Chennai,1112,22,1,13137.33,0,0.836,8,0
T94,U4576,28085.8,Withdrawal,Wallet,Android,Hyderabad,916,17,4,26936.3,0,0.524,8,0
T95,U3234,38559.81,Withdrawal,UPI,Web,Hyderabad,530,19,1,22340.85,0,0.177,7,0
T96,U1521,24715.09,Payment,UPI,Web,Hyderabad,1483,1,1,29546.65,0,0.448,4,0
T97,U4929,26160.5,Withdrawal,Wallet,iOS,Hyderabad,1589,8,2,5925.03,0,0.278,2,0
T98,U1472,21405.67,Payment,UPI,iOS,Mumbai,893,8,3,15066.27,0,0.36,1,0
T99,U1266,1319.69,Transfer,UPI,Android,Bangalore,743,11,2,23812.08,0,0.225,2,0
T100,U8394,5439.18,Transfer,Wallet,Web,Delhi,153,12,1,13867.79,0,0.334,2,0
T101,U7803,1619.89,Transfer,NetBanking,iOS,Chennai,1153,15,2,10716.13,0,0.822,3,0
T102,U7909,31838.7,Withdrawal,Wallet,Android,Hyderabad,953,12,2,24495.02,1,0.758,5,0
T103,U5779,15752.08,Transfer,Card,Android,Hyderabad,574,22,0,12966.21,0,0.491,1,0
T104,U1616,25453.11,Payment,UPI,iOS,Bangalore,1610,13,2,27397.73,0,0.783,5,1
T105,U6888,45382.95,Transfer,Wallet,Web,Bangalore,1209,6,2,8125.2,0,0.976,7,0
T106,U1735,12502.15,Transfer,UPI,Android,Mumbai,79,1,3,26903.97,0,0.406,1,0
T107,U2553,20548.63,Withdrawal,NetBanking,iOS,Mumbai,1847,11,4,8425.98,0,0.98,4,0
T108,U9301,37789.78,Payment,UPI,Android,Mumbai,642,23,0,8757.97,0,0.246,2,0
T109,U3195,11478.47,Withdrawal,Wallet,iOS,Chennai,898,16,0,12675.47,0,0.955,8,0
T110,U9467,3895.15,Withdrawal,NetBanking,Android,Mumbai,1236,23,0,15522.77,0,0.864,2,0
T111,U9234,14523.09,Payment,NetBanking,Web,Hyderabad,810,4,0,12604.93,0,0.199,1,0
T112,U9082,8103.0,Withdrawal,NetBanking,Android,Mumbai,189,19,3,25878.26,1,0.35,2,0
T113,U8186,46488.4,Payment,Card,iOS,Chennai,602,9,4,23887.52,0,0.708,4,0
T114,U9675,40415.61,Transfer,Wallet,iOS,Mumbai,576,17,3,9364.92,0,0.192,5,0
T115,U2339,31688.52,Payment,Wallet,iOS,Mumbai,700,2,0,15394.44,0,0.591,2,0
T116,U5538,43579.46,Payment,NetBanking,Web,Hyderabad,1643,12,4,12987.79,0,0.535,4,0
T117,U4935,40193.42,Payment,UPI,iOS,Hyderabad,1143,12,3,1776.5,1,0.292,7,0
T118,U3759,9369.17,Withdrawal,NetBanking,iOS,Hyderabad,1457,9,4,22469.59,1,0.301,5,0
T119,U2322,44633.32,Payment,Card,Web,Mumbai,674,1,3,5531.83,1,0.516,8,0
T120,U9154,26990.14,Payment,NetBanking,iOS,Hyderabad,1992,15,4,28030.84,0,0.3,9,0
T121,U7077,40381.64,Payment,Wallet,iOS,Bangalore,1536,3,3,11993.57,0,0.18,1,0
T122,U5583,44809.76,Transfer,NetBanking,Web,Delhi,415,18,0,18705.51,0,0.773,1,0
T123,U2161,15934.27,Payment,UPI,Android,Delhi,995,4,0,24567.15,0,0.582,3,1
T124,U7575,5547.09,Withdrawal,Wallet,iOS,Hyderabad,646,6,0,5490.87,1,0.438,8,0
T125,U4491,11435.36,Payment,UPI,Android,Chennai,1124,8,3,16279.98,0,0.181,1,0
T126,U5632,21384.03,Payment,NetBanking,Web,Hyderabad,1327,4,4,7198.85,0,0.594,2,0
T127,U6524,40909.84,Transfer,Wallet,iOS,Hyderabad,1426,7,4,15339.16,0,0.629,1,0
T128,U3140,43043.49,Payment,Card,iOS,Mumbai,1070,1,1,17425.14,0,0.48,1,0
T129,U5039,397.26,Withdrawal,Wallet,Web,Chennai,526,21,2,5157.32,0,0.373,9,0
T130,U1958,25561.83,Payment,UPI,iOS,Hyderabad,859,23,0,17466.48,0,0.867,1,0
T131,U5840,20899.68,Withdrawal,Wallet,Android,Bangalore,1695,19,0,13701.75,0,0.705,4,0
T132,U3019,11144.29,Transfer,Card,Android,Delhi,1911,19,0,15707.79,0,0.356,7,0
T133,U2050,6037.28,Payment,Card,Web,Bangalore,917,6,1,27158.51,0,0.593,5,0
T134,U7905,16913.88,Transfer,Card,iOS,Bangalore,325,3,1,14565.71,0,0.234,5,0
T135,U1699,47148.34,Payment,Card,iOS,Bangalore,1205,20,1,14336.84,0,0.011,7,0
T136,U2974,16193.99,Withdrawal,UPI,Web,Chennai,1439,14,0,14164.92,0,0.869,6,0
T137,U2686,25963.59,Transfer,Wallet,Android,Chennai,1295,17,4,18730.85,0,0.819,6,1
T138,U2979,35165.8,Payment,NetBanking,Android,Chennai,1517,1,0,11088.77,1,0.639,8,0
T139,U6022,18213.3,Withdrawal,Card,Web,Delhi,36,13,1,24060.67,0,0.811,9,0
T140,U5263,48590.52,Transfer,NetBanking,iOS,Mumbai,1528,9,1,8652.9,0,0.781,2,0
T141,U1515,48124.24,Payment,NetBanking,Android,Hyderabad,64,4,2,9056.43,1,0.86,4,0
T142,U5875,12626.53,Transfer,Wallet,iOS,Hyderabad,1944,11,3,17703.63,0,0.892,9,0
T143,U2726,24887.56,Payment,NetBanking,Android,Mumbai,1865,9,2,7870.69,0,0.819,1,0
T144,U4077,15078.87,Withdrawal,NetBanking,iOS,Hyderabad,258,17,2,2789.39,0,0.852,8,0
T145,U1247,14277.78,Withdrawal,UPI,Android,Bangalore,282,5,0,6247.01,0,0.502,1,0
T146,U3238,1892.5,Transfer,NetBanking,iOS,Delhi,1292,21,3,27418.36,0,0.708,4,0
T147,U6324,30497.74,Transfer,Wallet,Web,Hyderabad,1811,11,3,419.95,0,0.333,9,1
T148,U4212,25158.82,Payment,NetBanking,Android,Delhi,200,23,0,4090.5,1,0.861,4,1
T149,U8724,2621.36,Withdrawal,Wallet,Web,Mumbai,584,0,4,22765.39,0,0.859,5,0
T150,U7392,13968.39,Payment,Card,Android,Hyderabad,866,6,0,29397.84,1,0.066,9,0
T151,U9335,45417.88,Withdrawal,NetBanking,Android,Delhi,1479,11,4,20676.74,0,0.347,8,0
T152,U9792,12016.12,Transfer,NetBanking,Android,Bangalore,1886,6,4,27677.8,0,0.171,1,0
T153,U9965,7287.5,Payment,NetBanking,iOS,Bangalore,1535,8,3,25671.55,0,0.136,3,0
T154,U1732,24498.17,Payment,Card,Android,Mumbai,625,19,0,14451.11,1,0.415,4,0
T155,U7026,49283.24,Withdrawal,UPI,Web,Chennai,1426,14,0,10072.35,0,0.626,3,0
T156,U7031,12140.66,Withdrawal,NetBanking,iOS,Hyderabad,1441,22,3,19003.91,0,0.344,9,0
T157,U8987,33623.17,Withdrawal,Wallet,iOS,Bangalore,1833,11,2,16053.25,0,0.309,6,0
T158,U3605,38092.9,Transfer,UPI,Android,Bangalore,1804,12,0,872.3,0,0.094,3,0
T159,U5651,11920.0,Payment,UPI,iOS,Mumbai,1027,21,1,28723.19,0,0.383,8,0
T160,U5141,36424.41,Withdrawal,UPI,Android,Bangalore,682,3,1,17150.4,0,0.471,9,0
T161,U4152,18420.77,Transfer,NetBanking,Web,Hyderabad,692,9,0,26247.3,0,0.399,4,0
T162,U1106,31633.68,Withdrawal,Card,iOS,Mumbai,118,23,4,22065.44,0,0.68,5,0
T163,U8583,31694.81,Payment,Card,iOS,Delhi,661,2,3,10290.91,1,0.288,3,0
T164,U1077,26811.95,Withdrawal,NetBanking,Web,Mumbai,1638,23,4,27044.62,0,0.716,5,0
T165,U1822,4559.97,Payment,Wallet,Web,Hyderabad,990,4,1,23733.63,0,0.883,2,0
T166,U6928,41773.36,Transfer,Wallet,Android,Hyderabad,1136,3,1,12950.77,0,0.591,2,1
T167,U1821,16072.96,Transfer,Wallet,iOS,Delhi,235,18,3,25230.3,0,0.389,5,0
T168,U7504,9366.6,Withdrawal,NetBanking,Web,Mumbai,362,14,1,8219.41,0,0.18,7,1
T169,U5838,2086.72,Payment,Card,iOS,Hyderabad,1193,22,2,20153.44,0,0.932,1,0
T170,U6924,29565.1,Payment,NetBanking,Web,Hyderabad,1437,6,1,3525.99,0,0.752,3,0
T171,U7781,33894.34,Payment,Card,iOS,Delhi,1740,21,4,25986.46,0,0.246,1,0
T172,U3476,878.56,Withdrawal,UPI,Web,Chennai,1357,2,4,21910.04,0,0.151,8,0
T173,U5190,25629.05,Payment,NetBanking,iOS,Mumbai,154,15,2,4661.78,0,0.049,2,0
T174,U6775,11363.46,Payment,Card,Android,Hyderabad,1787,14,4,737.9,0,0.191,6,0
T175,U8577,32276.38,Payment,UPI,iOS,Bangalore,1498,17,4,11757.05,0,0.732,6,0
T176,U5318,8759.6,Payment,UPI,Android,Delhi,924,2,4,20290.65,0,0.63,9,0
T177,U3312,34562.34,Withdrawal,NetBanking,Android,Chennai,1165,13,0,8566.11,0,0.967,6,0
T178,U3335,19367.43,Withdrawal,Card,Android,Chennai,1126,0,2,29200.33,0,0.322,6,0
T179,U1954,46839.66,Payment,UPI,iOS,Delhi,282,6,2,28046.97,0,0.787,1,0
T180,U6362,6919.17,Payment,NetBanking,iOS,Chennai,1737,1,1,17978.42,0,0.12,7,0
T181,U4441,17086.26,Transfer,UPI,Android,Hyderabad,543,9,2,9536.41,0,0.563,6,0
T182,U5334,5718.0,Transfer,Wallet,Web,Chennai,1227,23,3,26898.45,0,0.467,8,0
T183,U4448,46238.45,Payment,NetBanking,iOS,Mumbai,1203,15,2,24123.78,0,0.838,1,0
T184,U1666,43873.1,Payment,UPI,iOS,Bangalore,469,11,3,2676.02,0,0.702,8,0
T185,U9132,12934.18,Transfer,NetBanking,iOS,Hyderabad,950,17,4,14342.05,0,0.194,8,0
T186,U4137,33016.2,Transfer,NetBanking,iOS,Delhi,1044,5,3,29438.33,0,0.984,1,0
T187,U4280,40870.25,Payment,Card,Android,Bangalore,190,16,0,13671.77,0,0.823,7,0
T188,U4783,27782.28,Withdrawal,Card,Web,Hyderabad,1265,7,4,27993.96,0,0.355,7,0
T189,U4342,26506.05,Withdrawal,UPI,Web,Bangalore,1989,20,3,29320.95,0,0.826,7,0
T190,U7832,12130.52,Payment,NetBanking,Web,Chennai,38,8,4,11682.04,0,0.957,3,0
T191,U2155,4700.48,Payment,NetBanking,Web,Delhi,541,18,0,28940.3,0,0.89,3,0
T192,U6183,44865.93,Transfer,Wallet,Android,Delhi,1038,1,4,4224.42,0,0.556,8,0
T193,U3650,45025.88,Transfer,NetBanking,iOS,Mumbai,1954,6,4,4887.57,0,0.577,8,0
T194,U5701,31673.42,Withdrawal,Card,iOS,Chennai,1579,10,2,8368.65,0,0.107,8,1
T195,U8420,16984.54,Payment,NetBanking,Android,Mumbai,149,22,1,14079.93,0,0.165,3,0
T196,U9588,17493.02,Transfer,Card,iOS,Mumbai,1061,12,3,5512.64,0,0.983,4,0
T197,U9358,36311.49,Withdrawal,Wallet,Android,Chennai,107,9,1,10271.31,0,0.77,2,0
T198,U5231,44860.66,Withdrawal,UPI,Web,Hyderabad,271,14,0,3199.23,0,0.026,3,0
T199,U3939,44359.97,Withdrawal,Card,Android,Mumbai,1791,20,0,12957.24,1,0.548,5,0
T200,U1446,39004.78,Transfer,UPI,iOS,Bangalore,28,6,4,24841.61,0,0.345,3,0
T201,U1679,32119.48,Transfer,UPI,iOS,Hyderabad,21,5,1,17892.1,0,0.312,4,0
T202,U5356,4252.79,Payment,UPI,iOS,Chennai,546,11,3,24323.76,0,0.557,7,0
T203,U5826,8123.35,Payment,UPI,Web,Delhi,1558,2,3,4157.81,1,0.32,3,0
T204,U6113,44932.78,Withdrawal,Card,Android,Hyderabad,1498,15,4,12043.13,0,0.252,1,0
T205,U5101,30341.13,Withdrawal,Wallet,Android,Mumbai,1621,19,3,1275.76,0,0.938,1,0
T206,U6535,509.39,Transfer,NetBanking,iOS,Bangalore,268,8,2,11162.37,0,0.04,4,1
T207,U5362,5118.5,Transfer,Card,Android,Chennai,33,9,1,18473.48,0,0.436,1,0
T208,U4000,33191.91,Payment,Wallet,iOS,Delhi,1041,12,0,17109.19,0,0.511,6,0
T209,U9062,302.83,Payment,NetBanking,Android,Bangalore,1913,7,3,1903.65,0,0.44,4,0
T210,U4570,8082.36,Payment,UPI,Web,Delhi,237,5,3,1955.58,0,0.657,5,0
T211,U1634,27459.25,Transfer,NetBanking,Web,Chennai,385,2,3,9221.52,0,0.026,6,0
T212,U8304,34610.17,Withdrawal,NetBanking,Android,Hyderabad,1156,11,4,23164.84,0,0.885,2,0
T213,U2593,32615.46,Payment,Wallet,Web,Mumbai,1123,8,0,715.24,0,0.5,1,0
T214,U3997,11252.25,Payment,NetBanking,Web,Chennai,1846,8,1,18516.22,0,0.554,2,1
T215,U3745,35623.35,Transfer,UPI,Web,Bangalore,1489,10,3,5592.68,0,0.463,6,0
T216,U1607,11900.59,Payment,Card,iOS,Hyderabad,233,5,2,28335.06,0,0.445,9,0
T217,U6936,16303.71,Withdrawal,Card,Android,Delhi,745,1,4,12963.44,0,0.187,8,0
T218,U7780,37337.25,Transfer,Wallet,Android,Hyderabad,266,6,1,1531.73,0,0.504,1,0
T219,U3538,32499.16,Payment,UPI,iOS,Hyderabad,524,8,3,21437.79,0,0.421,5,0
T220,U4982,42468.71,Payment,UPI,iOS,Bangalore,842,18,1,14589.82,0,0.468,7,0
T221,U9606,32897.76,Transfer,NetBanking,Web,Mumbai,1816,17,4,26449.09,0,0.014,8,1
T222,U2440,28437.01,Transfer,Wallet,Android,Hyderabad,1851,11,2,19589.57,0,0.131,7,0
T223,U4595,4729.05,Payment,UPI,iOS,Hyderabad,1181,20,3,20806.52,0,0.763,1,0
T224,U2186,18417.4,Withdrawal,UPI,Web,Mumbai,1420,10,2,23041.07,0,0.419,4,0
T225,U1130,13296.86,Transfer,UPI,Android,Mumbai,710,9,4,12668.6,0,0.743,4,0
T226,U9700,12237.28,Withdrawal,Card,Web,Delhi,920,22,2,23797.16,0,0.171,9,0
T227,U6095,48651.88,Payment,Card,Android,Delhi,708,2,4,1613.63,0,0.698,6,0
T228,U8167,19685.23,Withdrawal,Card,Web,Mumbai,447,11,2,22989.27,0,0.289,6,0
T229,U7347,44607.73,Payment,NetBanking,Android,Chennai,1733,3,1,19125.6,0,0.705,5,0
T230,U1289,31575.37,Payment,NetBanking,Android,Mumbai,1669,9,1,17043.28,0,0.087,5,1
T231,U1111,39750.82,Payment,NetBanking,Android,Delhi,46,1,4,9612.7,0,0.334,9,0
T232,U1878,25156.72,Payment,UPI,Android,Bangalore,1694,11,1,3511.97,0,0.119,2,0
T233,U5424,28866.35,Withdrawal,Card,Web,Bangalore,115,10,2,19451.3,0,0.63,5,0
T234,U5332,24651.26,Payment,UPI,iOS,Hyderabad,624,13,2,14202.96,0,0.393,1,0
T235,U3511,9802.39,Payment,UPI,Android,Bangalore,1952,14,3,6613.56,0,0.074,5,0
T236,U9467,36136.48,Withdrawal,Wallet,Android,Delhi,1922,13,4,1396.66,0,0.526,4,0
T237,U9056,14074.58,Transfer,UPI,Android,Bangalore,241,11,1,16209.08,0,0.025,4,0
T238,U6531,1264.58,Withdrawal,NetBanking,Android,Chennai,876,1,4,3876.26,0,0.818,4,0
T239,U2018,32291.34,Withdrawal,Card,Web,Mumbai,1179,22,1,27889.64,0,0.938,3,0
T240,U7639,8896.68,Withdrawal,Card,iOS,Mumbai,1050,1,3,4603.89,0,0.81,6,0
T241,U6347,47025.91,Payment,UPI,iOS,Delhi,1192,0,2,1057.56,0,0.952,3,0
T242,U7705,47698.73,Payment,NetBanking,iOS,Hyderabad,969,19,2,7935.22,0,0.897,6,0
T243,U4337,45747.48,Payment,NetBanking,Web,Mumbai,1849,14,0,5331.2,0,0.895,6,0
T244,U7667,18539.43,Transfer,NetBanking,iOS,Bangalore,1315,21,4,23758.02,0,0.245,2,0
T245,U3625,822.06,Payment,Card,Web,Chennai,287,9,1,8751.34,0,0.231,9,0
T246,U6458,46419.51,Transfer,NetBanking,Web,Hyderabad,134,19,0,7432.69,0,0.809,8,0
T247,U4017,21437.8,Payment,NetBanking,Android,Hyderabad,1718,0,4,29844.77,0,0.491,7,0
T248,U7376,48334.41,Withdrawal,UPI,Web,Hyderabad,1453,0,1,4586.85,0,0.942,9,0
T249,U4452,48182.82,Payment,Wallet,iOS,Mumbai,1353,0,3,2641.46,0,0.897,8,0
T250,U6082,42657.82,Transfer,NetBanking,iOS,Hyderabad,684,22,4,9238.16,0,0.893,9,0
T251,U6484,14757.72,Transfer,UPI,iOS,Delhi,724,10,1,12212.2,0,0.326,8,0
T252,U1877,19285.63,Payment,UPI,Android,Bangalore,1515,11,2,22836.68,0,0.133,3,0
T253,U2994,42564.28,Withdrawal,NetBanking,Android,Chennai,1883,14,4,28667.77,0,0.678,1,0
T254,U7401,15880.25,Payment,Wallet,Android,Bangalore,676,13,1,22933.95,0,0.441,6,1
T255,U3238,8516.16,Payment,Card,Web,Delhi,1357,22,2,21826.49,0,0.934,3,0
T256,U1242,27862.22,Payment,Wallet,iOS,Delhi,922,0,2,29744.29,0,0.854,3,1
T257,U9237,46810.93,Withdrawal,NetBanking,Web,Bangalore,1999,0,0,22984.38,0,0.929,6,0
T258,U8720,34816.69,Transfer,Wallet,Web,Mumbai,404,5,1,4272.04,0,0.568,9,0
T259,U3944,28524.56,Withdrawal,UPI,iOS,Delhi,782,23,0,13899.74,0,0.526,5,0
T260,U7319,4903.97,Transfer,UPI,Android,Hyderabad,195,22,0,15154.79,1,0.847,1,0
T261,U3124,30769.61,Transfer,Wallet,iOS,Chennai,1922,21,3,9213.83,0,0.512,7,0
T262,U9665,49503.19,Transfer,Card,Web,Chennai,475,2,0,5011.84,0,0.9,9,0
T263,U8760,7047.2,Withdrawal,Wallet,Web,Delhi,1090,13,0,21381.04,0,0.034,2,0
